[2025-10-31 14:11:14.322] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:14.362] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:14.402] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=853
[2025-10-31 14:11:14.442] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=855
[2025-10-31 14:11:14.482] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:14.522] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=869
[2025-10-31 14:11:14.562] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=867
[2025-10-31 14:11:14.602] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=859
[2025-10-31 14:11:14.642] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=855
[2025-10-31 14:11:14.682] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=853
[2025-10-31 14:11:14.722] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=854
[2025-10-31 14:11:14.762] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=866
[2025-10-31 14:11:14.802] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:14.842] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:14.882] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=857
[2025-10-31 14:11:14.922] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=857
[2025-10-31 14:11:14.962] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=859
[2025-10-31 14:11:15.002] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=863
[2025-10-31 14:11:15.042] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=872
[2025-10-31 14:11:15.082] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:15.122] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=863
[2025-10-31 14:11:15.162] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=857
[2025-10-31 14:11:15.202] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=856
[2025-10-31 14:11:15.242] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=861
[2025-10-31 14:11:15.282] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=868
[2025-10-31 14:11:15.322] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=859
[2025-10-31 14:11:15.362] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=859
[2025-10-31 14:11:15.402] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:15.442] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:15.482] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=856
[2025-10-31 14:11:15.522] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=866
[2025-10-31 14:11:15.562] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=855
[2025-10-31 14:11:15.602] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:15.642] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=870
[2025-10-31 14:11:15.682] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=863
[2025-10-31 14:11:15.722] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=854
[2025-10-31 14:11:15.762] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=859
[2025-10-31 14:11:15.802] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=866
[2025-10-31 14:11:15.842] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=856
[2025-10-31 14:11:15.882] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:15.922] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:15.962] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=854
[2025-10-31 14:11:16.002] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=857
[2025-10-31 14:11:16.042] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:16.082] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=857
[2025-10-31 14:11:16.122] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:16.162] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=861
[2025-10-31 14:11:16.202] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:16.242] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=855
[2025-10-31 14:11:16.282] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:16.322] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:16.362] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=857
[2025-10-31 14:11:16.402] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=868
[2025-10-31 14:11:16.442] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:16.482] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:16.522] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=854
[2025-10-31 14:11:16.562] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=861
[2025-10-31 14:11:16.602] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=865
[2025-10-31 14:11:16.642] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:16.682] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=865
[2025-10-31 14:11:16.722] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=869
[2025-10-31 14:11:16.762] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:16.802] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=865
[2025-10-31 14:11:16.842] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=876
[2025-10-31 14:11:16.882] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=863
[2025-10-31 14:11:16.922] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:16.962] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=856
[2025-10-31 14:11:17.002] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=866
[2025-10-31 14:11:17.042] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=854
[2025-10-31 14:11:17.082] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=866
[2025-10-31 14:11:17.122] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=861
[2025-10-31 14:11:17.162] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=867
[2025-10-31 14:11:17.162] [app] [info] [CaptureService.cpp:97] Capture stats: 1920x1080, 0 MB/s, 0 fps
[2025-10-31 14:11:17.202] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=868
[2025-10-31 14:11:17.242] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:17.282] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:17.322] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=868
[2025-10-31 14:11:17.362] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:17.402] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:17.442] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=865
[2025-10-31 14:11:17.482] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=855
