# BEGIN METADATA
# {
#   "channel_width": 30.0,
#   "flow_rate": 0.25,
#   "fluid_viscosity": 4.24,
#   "scaled_from": "20220826_HyperelasticLookup_3D_nonNewtonian_All_lut.txt"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
1.448667e+02	2.962220e-02	1.006975e+00
1.463902e+02	3.002660e-02	1.006975e+00
1.477861e+02	3.043110e-02	1.006975e+00
1.491568e+02	3.083560e-02	1.006975e+00
1.505425e+02	3.124010e-02	1.006975e+00
1.519279e+02	3.164450e-02	1.006975e+00
1.533152e+02	3.204900e-02	1.006975e+00
1.545505e+02	3.240960e-02	1.006975e+00
1.560879e+02	3.285800e-02	1.006975e+00
1.574741e+02	3.326240e-02	1.006975e+00
1.588666e+02	3.366690e-02	1.006975e+00
1.602229e+02	3.407140e-02	1.006975e+00
1.615838e+02	3.447590e-02	1.006975e+00
1.629461e+02	3.488030e-02	1.006975e+00
1.643004e+02	3.528480e-02	1.006975e+00
1.656688e+02	3.568930e-02	1.006975e+00
1.670166e+02	3.609380e-02	1.006975e+00
1.683911e+02	3.649820e-02	1.006975e+00
1.696621e+02	3.690270e-02	1.006975e+00
1.708981e+02	3.730720e-02	1.006975e+00
1.721457e+02	3.771170e-02	1.006975e+00
1.733895e+02	3.811610e-02	1.006975e+00
1.746353e+02	3.852060e-02	1.006975e+00
1.758809e+02	3.892510e-02	1.006975e+00
1.771252e+02	3.932960e-02	1.006975e+00
1.783726e+02	3.973400e-02	1.006975e+00
1.796150e+02	4.013850e-02	1.006975e+00
1.808327e+02	4.054300e-02	1.006975e+00
1.819476e+02	4.094750e-02	1.006975e+00
1.830285e+02	4.135190e-02	1.006975e+00
1.841422e+02	4.175640e-02	1.006975e+00
1.852321e+02	4.216090e-02	1.006975e+00
1.863320e+02	4.256540e-02	1.006975e+00
1.874349e+02	4.296980e-02	1.006975e+00
1.885178e+02	4.337430e-02	1.006975e+00
1.896327e+02	4.377880e-02	1.006975e+00
1.907147e+02	4.418330e-02	1.006975e+00
1.918219e+02	4.458770e-02	1.006975e+00
1.929024e+02	4.499220e-02	1.006975e+00
1.940126e+02	4.539670e-02	1.006975e+00
1.951312e+02	4.580120e-02	1.006975e+00
1.962351e+02	4.620560e-02	1.006975e+00
1.973576e+02	4.661010e-02	1.006975e+00
1.984630e+02	4.701460e-02	1.006975e+00
1.995813e+02	4.741910e-02	1.006975e+00
2.006939e+02	4.782350e-02	1.006975e+00
2.018027e+02	4.822800e-02	1.006975e+00
2.029196e+02	4.863250e-02	1.006975e+00
2.038910e+02	4.903700e-02	1.006975e+00
2.048231e+02	4.944140e-02	1.006975e+00
