# BEGIN METADATA
# {
#   "channel_width": 30.0,
#   "flow_rate": 0.25,
#   "fluid_viscosity": 4.24,
#   "scaled_from": "20220826_HyperelasticLookup_3D_nonNewtonian_All_lut.txt"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
1.601024e+02	1.721200e-02	1.343482e+00
1.717299e+02	1.878600e-02	1.343482e+00
6.719760e+01	5.574000e-03	1.431433e+00
7.888590e+01	6.598000e-03	1.431433e+00
1.835489e+02	1.779600e-02	1.431433e+00
1.951558e+02	1.935600e-02	1.431433e+00
2.068225e+02	2.091100e-02	1.431433e+00
2.184993e+02	2.262700e-02	1.431433e+00
2.302448e+02	2.440100e-02	1.431433e+00
2.419605e+02	2.621900e-02	1.431433e+00
2.537122e+02	2.811900e-02	1.431433e+00
2.655788e+02	3.014900e-02	1.431433e+00
2.773372e+02	3.222500e-02	1.431433e+00
2.892758e+02	3.445600e-02	1.431433e+00
9.051075e+01	7.642000e-03	1.431433e+00
3.012908e+02	3.673800e-02	1.431433e+00
3.134295e+02	3.909000e-02	1.431433e+00
3.254175e+02	4.149700e-02	1.431433e+00
3.377565e+02	4.419200e-02	1.431433e+00
3.500415e+02	4.672800e-02	1.431433e+00
3.624862e+02	4.958600e-02	1.431433e+00
3.750097e+02	5.217500e-02	1.431433e+00
3.876165e+02	5.501800e-02	1.431433e+00
4.005045e+02	5.789500e-02	1.431433e+00
4.133587e+02	6.070300e-02	1.431433e+00
1.021572e+02	8.764000e-03	1.431433e+00
4.265663e+02	6.367400e-02	1.431433e+00
4.397107e+02	6.672400e-02	1.431433e+00
4.530398e+02	6.951300e-02	1.431433e+00
4.663755e+02	7.250400e-02	1.431433e+00
4.765297e+02	7.465600e-02	1.431433e+00
4.902503e+02	7.728800e-02	1.431433e+00
5.039887e+02	7.961800e-02	1.431433e+00
5.179905e+02	8.255800e-02	1.431433e+00
1.137661e+02	9.928000e-03	1.431433e+00
1.254278e+02	1.107700e-02	1.431433e+00
1.370171e+02	1.234600e-02	1.431433e+00
1.486838e+02	1.364800e-02	1.431433e+00
1.602794e+02	1.499300e-02	1.431433e+00
1.719268e+02	1.635000e-02	1.431433e+00
6.722865e+01	4.896000e-03	1.527032e+00
7.892843e+01	5.787000e-03	1.527032e+00
1.837370e+02	1.547000e-02	1.527032e+00
1.953619e+02	1.681000e-02	1.527032e+00
2.070414e+02	1.814900e-02	1.527032e+00
2.187283e+02	1.962500e-02	1.527032e+00
2.304855e+02	2.115000e-02	1.527032e+00
2.422035e+02	2.271600e-02	1.527032e+00
2.539620e+02	2.434800e-02	1.527032e+00
2.658195e+02	2.609700e-02	1.527032e+00
2.775690e+02	2.789100e-02	1.527032e+00
2.894895e+02	2.980600e-02	1.527032e+00
9.056520e+01	6.695000e-03	1.527032e+00
3.014798e+02	3.178100e-02	1.527032e+00
3.135757e+02	3.382800e-02	1.527032e+00
3.255345e+02	3.590700e-02	1.527032e+00
3.377993e+02	3.826400e-02	1.527032e+00
3.500235e+02	4.051400e-02	1.527032e+00
3.623782e+02	4.302000e-02	1.527032e+00
3.748095e+02	4.532800e-02	1.527032e+00
4.000905e+02	5.042500e-02	1.527032e+00
4.128187e+02	5.299400e-02	1.527032e+00
1.022263e+02	7.669000e-03	1.527032e+00
4.258867e+02	5.568000e-02	1.527032e+00
4.388805e+02	5.848900e-02	1.527032e+00
4.520632e+02	6.103500e-02	1.527032e+00
4.652505e+02	6.378000e-02	1.527032e+00
4.752697e+02	6.575800e-02	1.527032e+00
4.888283e+02	6.822800e-02	1.527032e+00
5.023845e+02	7.060700e-02	1.527032e+00
5.161658e+02	7.328900e-02	1.527032e+00
5.300235e+02	7.589400e-02	1.527032e+00
1.138513e+02	8.676000e-03	1.527032e+00
1.255288e+02	9.672000e-03	1.527032e+00
1.371366e+02	1.076700e-02	1.527032e+00
1.488200e+02	1.189300e-02	1.527032e+00
1.604340e+02	1.305400e-02	1.527032e+00
1.720980e+02	1.422300e-02	1.527032e+00
6.725655e+01	4.286000e-03	1.632828e+00
7.896690e+01	5.059000e-03	1.632828e+00
1.839029e+02	1.340900e-02	1.632828e+00
1.955434e+02	1.455900e-02	1.632828e+00
2.072331e+02	1.571000e-02	1.632828e+00
2.189286e+02	1.697800e-02	1.632828e+00
2.306970e+02	1.828800e-02	1.632828e+00
2.424150e+02	1.963400e-02	1.632828e+00
2.541757e+02	2.103700e-02	1.632828e+00
2.660265e+02	2.254200e-02	1.632828e+00
2.777670e+02	2.409100e-02	1.632828e+00
2.896673e+02	2.573400e-02	1.632828e+00
9.061402e+01	5.846000e-03	1.632828e+00
3.016372e+02	2.744200e-02	1.632828e+00
3.137018e+02	2.922000e-02	1.632828e+00
3.256155e+02	3.102300e-02	1.632828e+00
